date,datetime,cash_type,card,money,coffee_name
2023-03-01,2023-03-01 10:15:50.520,card,ANON-0000-0000-0001,37.89,Caramel Dream
2023-03-01,2023-03-01 12:19:22.539,card,ANON-0000-0000-0002,37.28,Choco Bliss
2025-03-01,2025-03-01 12:20:18.089,card,ANON-0000-0000-0002,39.95,Choco Bliss
2024-03-01,2024-03-01 13:46:33.006,card,ANON-0000-0000-0003,26.52,Midnight Roast
2024-03-01,2024-03-01 13:48:14.626,card,ANON-0000-0000-0004,38.62,Caramel Dream
2023-03-01,2023-03-01 15:39:47.726,card,ANON-0000-0000-0005,35.1,Special Brew 3
2025-03-01,2025-03-01 16:19:02.756,card,ANON-0000-0000-0006,41.59,Choco Bliss
2025-03-01,2025-03-01 18:39:03.580,card,ANON-0000-0000-0007,31.77,Special Brew 1
2025-03-01,2025-03-01 19:22:01.762,card,ANON-0000-0000-0008,37.31,Special Brew 6
2024-03-01,2024-03-01 19:23:15.887,card,ANON-0000-0000-0008,36.22,Special Brew 2
2023-03-01,2023-03-01 19:29:17.391,card,ANON-0000-0000-0009,36.23,Special Brew 6
2024-03-02,2024-03-02 10:22:06.957,card,ANON-0000-0000-0010,27.36,Midnight Roast
2025-03-02,2025-03-02 10:30:35.668,cash,,39.26,Caramel Dream
2025-03-02,2025-03-02 10:41:41.249,card,ANON-0000-0000-0011,31.76,Special Brew 9
2024-03-02,2024-03-02 11:59:45.484,card,ANON-0000-0000-0012,35.72,Special Brew 3
2023-03-02,2023-03-02 14:38:35.535,card,ANON-0000-0000-0013,31.25,Midnight Roast
2023-03-02,2023-03-02 16:37:24.475,card,ANON-0000-0000-0014,33.01,Special Brew 4
2023-03-02,2023-03-02 17:34:54.969,card,ANON-0000-0000-0004,27.65,Midnight Roast
2025-03-03,2025-03-03 10:10:43.981,cash,,40.31,Caramel Dream
2023-03-03,2023-03-03 10:27:18.561,card,ANON-0000-0000-0015,41.12,Caramel Dream
2024-03-03,2024-03-03 11:33:56.118,card,ANON-0000-0000-0016,28.49,Special Brew 7
2025-03-03,2025-03-03 12:26:56.098,card,ANON-0000-0000-0012,30.79,Midnight Roast
2024-03-03,2024-03-03 13:09:36.321,card,ANON-0000-0000-0017,36.17,Choco Bliss
2025-03-03,2025-03-03 17:06:40.271,card,ANON-0000-0000-0018,41.02,Special Brew 7
2025-03-03,2025-03-03 17:08:45.895,card,ANON-0000-0000-0019,30.55,Special Brew 4
2025-03-03,2025-03-03 18:03:23.369,card,ANON-0000-0000-0020,31.44,Special Brew 6
2024-03-03,2024-03-03 18:04:27.946,card,ANON-0000-0000-0020,34.62,Special Brew 5
2025-03-03,2025-03-03 18:08:04.959,card,ANON-0000-0000-0020,39.38,Choco Bliss
2025-03-04,2025-03-04 10:03:51.994,card,ANON-0000-0000-0001,37.85,Caramel Dream
2024-03-04,2024-03-04 10:54:50.958,card,ANON-0000-0000-0021,35.75,Caramel Dream
2024-03-04,2024-03-04 11:05:16.184,card,ANON-0000-0000-0012,32.33,Special Brew 7
2025-03-04,2025-03-04 14:04:37.734,card,ANON-0000-0000-0022,22.45,Urban Kick
